author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1222393587075338240,RFTalk,36,337,Committed to providing substandard coverage of American rugby,,"@tubaguy08 @SuperRugby @USARugby @prsevens @WorldRugby7s @AmericaRugbyPod If truly free is a requirement, I’ll suggest the @Super6Rugby. It’s the second level of Scottish rugby. They stream matches on YouTube. If you’re willing to fork over $5 a month, I’ll join the chorus supporting @peacock during the Prem/Champ Cup.",2021-08-03 00:54:35+00:00,0,1,2,0
15084579,radiosweethrt,212,35944,Dogs. Cats. General Hospital. Days of Our Lives. The important stuff.,,I wonder if #BeyondSalem is going to be @peacock premium subscriber-only or if it'll be available on the free side. #Days,2021-08-04 22:01:48+00:00,0,0,0,0
15440798,MikeCunsolo,264,20791,Hey...I'm Mike and I love LaDonna and my kids.,"Accra, Ghana","@netflix @peacock @hulu @discovery @disneyplus 

Think of it this way: I pay $30 a month for a dedicated VPN so I can watch shows. That’s $360 per year. Now think about that for each user. We’re talking millions of dollars you’re losing to VPNs. #thinkaboutit",2021-08-04 20:12:40+00:00,0,0,0,0
15440798,MikeCunsolo,264,20791,Hey...I'm Mike and I love LaDonna and my kids.,"Accra, Ghana","@netflix Also looking at you @Peacock @hulu @discovery @paramount @amazon @EVERYSTREAMSERVICE

If I missed anyone on this please let me know.

@sling",2021-08-04 19:58:56+00:00,0,0,1,0
32261756,boucher1113,23,6707,The right decisions are rarely the easy decisions.,"Roanoke, VA",@jessica_smetana And I don't have @peacockTV because of the principle. Not paying TWICE to be able to get all the games. I pay my cable sub and that once got me everything. @peacock out,2021-08-04 17:54:01+00:00,0,0,0,0
45662364,Drew_3DP,81,10487,"TX Born, FL Raised. Weather Nerd. Beautiful Game Fan (#CFC #RSL). Vols. Fins. Fish. Heat. #LightTheWorld. Papa of 2. Additive Mfg Tech. Tweets are MO.",DFW,@slmandel @Peacock is the absolute worst,2021-08-04 17:21:07+00:00,0,0,1,0
1022068185204449280,simonmckim,52,1680,"Host of @andalsoaswellas, fan of baseball, learner of Gàidhlig, and author","New Albany, IN",Hey @peacock please stop cutting to these two jackasses in the studio making fun of events and people’s names.,2021-08-04 11:14:35+00:00,0,0,1,0
975191599,rmalay75,75,416,,,"Hey @NBCSports seriously, tell me what the hell I need to do to watch live olympics.  Just put a damn price tag on it and I’ll pay it.  I even paid for @peacock and that doesn’t let me watch live.  Why are you so bad at your job!?",2021-08-04 03:12:13+00:00,0,0,0,0
5371352,bsniz,2632,37591,"Husband to @chiarapotenza and dad to 🐶Bucatini. Food, travel, @NDfootball and digital business. EVP / Executive Digital Director @GolinGlobal - opinions my own","Chicago, IL, USA",@PeteSampson_ @peacock @Matt_Fortuna Have you heard anything from @NDFIM @NDFootballPR about what will be shown to paying subscribers during media timeouts? (I'm hoping the answer is not commercials),2021-08-05 20:30:38+00:00,0,0,0,0
22062686,USATH,12118,6528,"Official Twitter of USA Team Handball, the National Governing Body for the sport of team handball in the U.S. 🤾🇺🇸","Colorado Springs, CO","USA Team Handball Board Member and Beach Handball Legend, Ebiye Udo-Udoma (@HandballNinja), appeared on @peacock with @KevinHart4real and @SnoopDogg 
- Check out the video here (last segment): https://t.co/4D48bEcpO9
- Viewing requires registration, but no subscription fee https://t.co/U7VDk0cb02",2021-08-05 20:27:46+00:00,20,2,101,12
